Locality.raw	Locality.specific	Locality
Andagueda	Rio Andagueda	Rio Andagueda
Atrato	Atrato River	Rio Atrato
Atrato River	Atrato River	Rio Atrato
R Atrato	Atrato River	Rio Atrato
Rio Atrato	Atrato River	Rio Atrato
Upper Atrato	Atrato River	Rio Atrato
Lower Atrato	Lower Atrato	Rio Atrato
Rio Frio	Rio Frio	Rio Frio
"Rio Frio, Cauca Valley"	Rio Frio	Rio Frio
lower Magdalena	Lower Magdalena	Rio Magdalena
Lower Magdalena	Lower Magdalena	Rio Magdalena
Magdalena River	Magdalena River	Rio Magdalena
Monguido	Monguido	Rio Monguido
Monquido	Monguido	Rio Monguido
"Monquido, Choco"	Monguido	Rio Monguido
Rio San Jorge	Rio San Jorge	Rio San Jorge
Rio San Juan	Rio San Juan	Rio San Juan
R Sinu	Rio Sinu	Rio Sinu
Sinu	Rio Sinu	Rio Sinu
Sinu River	Rio Sinu	Rio Sinu
Upper Sinu River (200 ft)	Rio Sinu	Rio Sinu
Rio Toche	Rio Toche	Rio Toche
Tochecito	Tochecito	Rio Toche
R Salaqui	Salaqui	Salaqui
Rio Salaqui	Salaqui	Salaqui
"Rio Salaqui, Choco"	Salaqui	Salaqui
Salaqui	Salaqui	Salaqui
"Salaqui, Choco"	Salaqui	Salaqui
above Salento	above Salento	Salento
above Salento (9000 ft)	above Salento (9000 ft)	Salento
Above Salento (alt 9000 ft)	above Salento (9000 ft)	Salento
"above Salento, (9000 ft)"	above Salento (9000 ft)	Salento
El Roble (Quindio)	El Roble (Quindio)	Salento
Finlandia 8 miles w of Salento	Finlandia (8 m W Salento)	Salento
Salento	Salento	Salento
Salento (9000 ft)	Salento (9000 ft)	Salento
Below Salento	Salento (below)	Salento
near Salento	Salento (near)	Salento
San Agustin	San Agustin	San Agustin
near San Agustin	San Agustin (near)	San Agustin
Near San Agustin	San Agustin (near)	San Agustin
San Antonio	San Antonio	San Antonio
below San Antonio	San Antonio (below)	San Antonio
San Antonio (about 15 miles s of Bogota)	San Antonio (about 15 miles S Bogota)	San Antonio de Tena
San Antonio (e slope?)	San Antonio (about 15 miles S Bogota)	San Antonio de Tena
San Antonio (south of Bogota)	San Antonio (about 15 miles S Bogota)	San Antonio de Tena
San Jose	San Jose	San Jose
Santa Elena	Santa Elena	Santa Elena
Sta Elena	Santa Elena	Santa Elena
"Santa Isabel (12,000 ft)"	Santa Isabel (12000 ft)	Paramo Santa Isabel
Santa Isabel (12000 ft)	Santa Isabel (12000 ft)	Paramo Santa Isabel
"Santa Isabel (12,700 ft)"	Santa Isabel (12700 ft)	Paramo Santa Isabel
Santa Marta	Santa Marta	Santa Marta
Sibate	Sibate	Sibate
Suba	Suba	Suba
"Suba Marshes, Bogota Savanna"	Suba	Suba
above Subia	above Subia	Subia
Subia	Subia	Subia
Subia (near Bogota)	Subia	Subia
"Subia (w slope, EK Andes)"	Subia	Subia
Susumuco	Susumuco	Susumuco
Tenasuca	Tenasuca	Tenasuca
Tenasuea	Tenasuca	Tenasuca
Tocaimito	Tocaimito	Tocaimito
"Tocaimito (above Bogota, 10,500 ft)"	Tocaimito	Tocaimito
Tocaimito above Bogota	Tocaimito	Tocaimito
"Tocaimito, above Bogota"	Tocaimito	Tocaimito
Tumaco	Tumaco	Tumaco
Turbaco	Turbaco	Turbaco
Turbaco (near Cartagena)	Turbaco	Turbaco
Valle de las Pappas	Valle de las Papas	Valle de las Papas
Valle delas Pappas	Valle de las Papas	Valle de las Papas
Varrud	Varrud	Varrud
Vilavicencio	Villavicencio	Villavicencio
Villavicencio	Villavicencio	Villavicencio
Villayicencio	Villavicencio	Villavicencio
Villvicencio	Villavicencio	Villavicencio
Volcancito	Volcancito	Rio Toche
20 miles w of Honda	20 miles w of Honda	W of Honda
20 miles west of Honda	20 miles w of Honda	W of Honda
30 m west of Honda	30 m west of Honda	W of Honda
"about 20 miles w of Honda, alt 5000 ft"	about 20 miles w of Honda alt 5000 ft	W of Honda
Andes w of Honda (5000 ft)	Andes W of Honda (5000 ft)	W of Honda
Honda and vicinity	Honda	W of Honda
"Honda, and vicinity"	Honda	W of Honda
near Honda	Honda	W of Honda
Near Honda	Honda	W of Honda
Vicinity of Honda	Honda	W of Honda
west of Honda (1500 ft)	"Honda (W of, 1500 ft)"	W of Honda
w of Honda (alt 2000 ft)	"Honda (W of, 2000 ft)"	W of Honda
West of Honda (2800 ft)	"Honda (W of, 2800 ft)"	W of Honda
Cen Andes w of Honda	"Honda (W of, 5000 ft)"	W of Honda
Cen Andes w of Honda (5000 ft)	"Honda (W of, 5000 ft)"	W of Honda
Cen Andesw of Honda (5000 ft)	"Honda (W of, 5000 ft)"	W of Honda
Central Andes w of Honda (5000 ft)	"Honda (W of, 5000 ft)"	W of Honda
west of Honda (5000 ft)	"Honda (W of, 5000 ft)"	W of Honda
w of Honda	Honda (W of)	W of Honda
W of Honda	Honda (W of)	W of Honda
west of Honda	Honda (W of)	W of Honda
West of Honda	Honda (W of)	W of Honda
between Quetame and Buena Vista	between Quetame and Buena Vista	Quetame
